n,observed_rank,predicted_rank_Q1,predicted_rank,predicted_rank_Q3,observed_log_income,predicted_log_income_Q1,predicted_log_income,predicted_log_income_Q3
302,1,4,20.9900662251656,28,5.91901417532734,8.3754034397144,8.92747559696169,9.48415179059628
302,32,19,35.3344370860927,50,9.53347200791664,9.21286464468075,9.43162584292685,9.72110573792976
303,4,5,17.5874587458746,22,7.70560477829073,8.45673002281247,8.8932606699156,9.34134975473915
303,3,4,17.2838283828383,23,7.41729632030659,8.40612922854267,8.88949947797222,9.35220969408866
303,36,25,41.3135313531353,55,9.60934862090155,9.40093005303473,9.55640725133213,9.7675567738969
303,14,9,25.6006600660066,36,8.86656777450202,8.65417738255064,9.15687890595773,9.57807695009389
303,15,8.5,25.6600660066007,38.5,8.9324436844624,8.63928914946576,9.14430280452925,9.61022453102754
303,22,13,29.8514851485149,41,9.26960645093297,8.92230810000487,9.29346091757658,9.63707745906672
303,10,7,23.3564356435644,34.5,8.56399936427917,8.55410002496272,9.0808379676375,9.57748597749952
303,13,8,24.2508250825083,36,8.7971641808967,8.61154860437446,9.11124860013108,9.59152185398738
303,18,11.5,27.4752475247525,40,9.09880047599618,8.79812015617685,9.22373838026527,9.6244317274783
303,5,5,17.6897689768977,22,7.89577103864902,8.46064317992637,8.90637307322092,9.33800940838665
303,21,13,30.3201320132013,45.5,9.23097289230102,8.88646093576427,9.29009314018523,9.67623052442813
303,44,32,45.7722772277228,60,9.7399298267293,9.51569806099894,9.63228413508841,9.83816279949711
303,9,7,20.5049504950495,26,8.46190313829532,8.54419626233308,9.00602679963125,9.43766558586436
303,24,16,33.5709570957096,47,9.33517271741147,9.0747425702669,9.37961109859081,9.6954982201966
303,16,10,24.7953795379538,34.5,8.99434088337505,8.69007806113848,9.1619988020797,9.57651448513495
303,19,14,31.4752475247525,47,9.14412000913515,8.96700247493714,9.32052730206358,9.69634179978567
303,43,28,44.2442244224422,57,9.7251882540624,9.45144823966801,9.60747959321436,9.80345160032174
303,11,7,22.4455445544554,31,8.65333286830387,8.54691083014753,9.05719410699704,9.5262391931412
303,8,7,20.1452145214521,26,8.34752150787394,8.54928535486009,9.00180613640024,9.42662757001501
303,7,6,19.8349834983498,26,8.21647985281807,8.52541467871752,8.98697701637118,9.42865653468812
303,29,19,35.7524752475248,48.5,9.46638522188046,9.22872128813808,9.45005802911677,9.70324147593397
303,20,13.5,30.3696369636964,47,9.18687040898438,8.9382840067248,9.29091130214342,9.69181330096165
303,47,32,47.4191419141914,63,9.78390766443309,9.53721591640154,9.65580686485167,9.86628046695962
303,90,75,80.7854785478548,92,10.4623563599568,10.0066960384788,10.1887307635679,10.3793335736898
303,40,27,43.0693069306931,58,9.67849637840759,9.44978203647969,9.59339890722404,9.80179609712183
303,26,18,33.5874587458746,46,9.39273070411831,9.18690595783122,9.41101789308058,9.68385031274612
303,27,18.5,36.7425742574257,48.5,9.41909484924971,9.19907374039946,9.45794463070728,9.71446715883749
303,30,17,33.3762376237624,48,9.48881807736657,9.13047882621069,9.40413599998653,9.70047697416085
303,31,20,37.5907590759076,53,9.51113483784788,9.21630094269113,9.47286924122059,9.77786760350264
303,25,16,34.036303630363,46,9.36347982533652,9.09880506114285,9.39212708262326,9.69612556182707
303,38,24,40.2805280528053,53.5,9.64549533598151,9.3668432846301,9.54481168940922,9.75488251539776
303,68,44,58.2442244224423,73,10.0564036590929,9.66299992548662,9.8200577556302,9.99902594139515
303,42,26,41.8910891089109,56,9.7101907708169,9.42739174221274,9.57554938570455,9.78834174867895
303,51,34,48.3828382838284,62,9.84176975464454,9.56529788366258,9.69507237724266,9.84568947237629
303,54,35.5,49.5775577557756,62,9.8803206109913,9.56334430312869,9.70216370115817,9.86571122587323
303,66,42,57.8382838283828,74,10.0304316101797,9.64301416499761,9.80837170638652,10.0064055549992
303,35,22,39.7260726072607,53,9.59110829789775,9.30325166704686,9.52705316622268,9.75272789131757
303,46,32,47.0759075907591,60.5,9.7687054001782,9.54001540787951,9.66193492443306,9.83383709621786
303,57,36.5,52.2904290429043,68.5,9.91836281801837,9.58787793459108,9.74149157876379,9.92538274535158
303,53,34,48.6039603960396,61,9.86696786502662,9.56515451167624,9.69001602717524,9.85019117110901
303,64,41.5,56.4224422442244,72,10.0031324826026,9.63811015377495,9.80670788082237,9.97274352526808
303,37,23,40.019801980198,51.5,9.62756350464444,9.34926090897643,9.53011608477801,9.75290603263593
303,58,38,53.7194719471947,70,9.93060894396943,9.60467537979618,9.75775318821143,9.94281722594463
303,77,57,67.5280528052805,81,10.1882690089549,9.79168775778542,9.94483817030778,10.1021582375655
303,59,37,53.6468646864687,70,9.94255023266103,9.59408581143305,9.75996915576783,9.93652550614276
303,48,33.5,47.5577557755776,61,9.79859447156284,9.55563547971494,9.66983472831298,9.83641913220837
303,85,68,74.6897689768977,87,10.3339708427765,9.91706963140271,10.0566850127972,10.2121827993352
303,41,27,42.2343234323432,57,9.69401502298732,9.45069808515358,9.57077496458575,9.78591317767478
303,52,33,48.4323432343234,63,9.85455915336933,9.54914074190735,9.69571406115123,9.86627235836904
303,96,89,89.2673267326733,97,10.7905952890138,10.2586284437326,10.4653119602983,10.7125963168121
303,49,35,49.8844884488449,64,9.81343157765277,9.57650061450468,9.70784849225063,9.8717318491042
